Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities\EF.Core.Utilities.csproj,File,EF.Core.Utilities\EF.Core.Utilities.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities\EF.Core.Utilities.csproj,File,EF.Core.Utilities\EF.Core.Utilities.csproj,,,Microsoft.Extensions.Hosting.Abstractions 9.0.12,,,,,"Microsoft.Extensions.Hosting.Abstractions, 9.0.12  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EF.Core.Utilities\EF.Core.Utilities.csproj,File,EF.Core.Utilities\EF.Core.Utilities.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.12,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.12  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.12,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.12  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.4"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 9.0.12,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.UI 9.0.12,,,,,"Microsoft.AspNetCore.Identity.UI, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.4"
