Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities\EF.Core.Utilities.csproj,File,EF.Core.Utilities\EF.Core.Utilities.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities\EF.Core.Utilities.csproj,File,EF.Core.Utilities\EF.Core.Utilities.csproj,,,Microsoft.Extensions.Hosting.Abstractions 8.0.1,,,,,"Microsoft.Extensions.Hosting.Abstractions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 9.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EF.Core.Utilities\EF.Core.Utilities.csproj,File,EF.Core.Utilities\EF.Core.Utilities.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.14,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.2,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.2  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 9.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,File,EF.Core.Utilities.Test\EF.Core.Utilities.Test.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net9.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.14,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.UI 8.0.14,,,,,"Microsoft.AspNetCore.Identity.UI, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 9.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,File,EF.Core.Utilities.Test.Web\EF.Core.Utilities.Test.Web.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.14,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 9.0.12"
